group_name,company,group_type,debute_year,disband_year,social_accounts,inactive_members,current_members,original_members_remainding,initial_members,member_changes,subunits,albums,mini_albums,other_albums,singles,digital_singles,other_singles,foreign_albums,foreign_mini_albums,foreign_other_album,foreign_singles,foreign_digital_singles,others,last_production_year,total_releases,lifespan
10X10,gaon_entertainment,0,2015,2016,2,0,6,6,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2016,3,2
1NB ,trivus_entertainment,0,2017,2018,4,0,5,5,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2018,6,2
1PS,maroo_entertainment,0,2014,2015,3,0,5,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2014,2,2
2EYES,sidushq,0,2013,2017,2,0,4,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,2,5
2NE1,yg_entertainment,0,2009,2017,5,0,3,3,4,1,0,2,2,2,0,12,0,2,1,0,2,2,1,2017,26,9
4G,heuk_ggo_entertainment,0,2014,2015,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1,2
4L,jade_contents_media,0,2014,2015,3,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1,2
4minute,cube_entertainment,0,2009,2016,5,0,5,5,5,0,1,1,8,0,0,7,4,1,0,0,7,0,6,2016,34,8
4SOME,sugar_entertainment,0,2015,2016,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
4TEN,jungle_entertainment,0,2014,2018,5,0,3,2,4,6,0,0,1,0,0,3,0,0,0,0,0,0,0,2016,4,5
4Tomorrow,colabs,0,2009,2009,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2009,1,1
7Princess,yesplease_entertainment,0,2003,2009,0,0,7,1,7,14,0,2,0,2,1,0,0,0,0,0,0,0,1,2009,6,7
84LY,colabs,0,2012,2013,0,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2012,1,2
9MUSES,star_empire_entertainment,0,2010,2019,6,0,4,1,10,13,1,1,5,1,2,4,0,0,0,0,0,0,2,2019,15,10
A Train to Autumn,cube_entertainment,0,2018,2020,3,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2019,6,3
A-DEAN,dia9_entertainment,0,2013,2019,4,0,4,2,4,10,0,0,0,0,0,4,0,0,0,0,0,0,0,2018,4,7
A-Fati,coolwave_entertainment,0,2014,2016,2,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2015,6,3
A-Plus,owl_entertainment,0,2015,2016,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
A-seed,yechan_media,0,2017,2018,4,0,4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2018,3,2
A.De,2able_company,0,2016,2017,4,0,6,6,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2017,3,2
A.H.H.A,yellocean,0,2015,2016,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
A.I.N,starcommerce_entertainment,0,2014,2014,0,0,7,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1,1
A.KOR,doo_republic,0,2014,2017,3,0,5,3,3,2,1,0,0,0,0,3,0,0,0,0,0,0,0,2015,3,4
A.sia,starmade_entertainment,0,2006,2007,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006,1,2
A.SOME,the_solution,0,2016,2017,1,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2016,2,2
ACE,worthy_entertainment,0,2015,2016,2,0,4,3,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
After School,pledis_entertainment,0,2009,2020,5,0,1,1,5,10,3,1,0,0,6,2,3,2,0,1,6,0,5,2015,26,12
Aila,plane_entertainment,0,2014,2014,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1,1
AiRiSU,gaon_entertainment,0,2018,2019,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,2
AL,mascom_company,0,2001,2002,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001,1,2
Alice White,smaf_entertainment,0,2014,2015,3,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1,2
ALiKE,87sound,0,2018,2019,5,0,3,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2019,2,2
AMOR,juny_network_entertainment,0,2017,2018,2,0,5,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,2
ANDS,colabs,0,2014,2016,0,0,3,3,5,2,0,0,0,0,2,1,0,0,0,0,0,0,0,2015,3,3
ANS,ans_entertainment,0,2019,2020,7,0,8,6,6,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2020,3,2
Apple.B,gh_entertainment,0,2017,2018,4,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,2
April Kiss,olleh_music,0,2011,2011,1,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,1,1
AQUA,krazy_entertainment,0,2018,2019,1,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,2
AREAL,jz_factory_entertainment,0,2020,2021,5,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,1,2
As One,chorokbaemjuna_e&m,0,2012,2016,3,0,6,6,6,0,0,0,0,0,0,2,0,0,1,0,0,7,0,2016,10,5
ASHA,cm_entertainment,0,2015,2016,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
Awe5ome Baby,tn_entertainment,0,2015,2016,5,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
AWESOME,midum_entertainment,0,2017,2018,3,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,2
AZM,innok_entertainment,0,2018,2019,3,0,4,3,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,2018,2,2
BaBa,pr_entertainment,0,2015,2020,5,0,7,1,6,20,0,0,0,0,0,4,0,0,0,0,0,0,0,2018,4,6
Baby Boo,hyunda_company,0,2015,2020,2,0,3,1,4,11,0,0,0,0,0,6,0,0,0,0,0,0,0,2019,6,6
Baby V.O.X,dr_music,0,1997,2006,0,0,1,2,6,7,0,7,0,1,0,0,0,0,0,1,0,0,0,2004,9,10
BADKIZ,us_entertainment,0,2014,2020,0,0,4,0,5,22,0,0,0,0,0,8,1,0,0,0,0,0,0,2019,9,7
Bambino,js_entertainment,0,2015,2017,1,0,4,3,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2016,2,3
Bay.B,can_entertainment,0,2014,2016,4,0,3,3,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2015,4,3
BBURECTOR,bbu_entertainment,0,2018,2018,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,1
BeBe Mignon,happyface_entertainment,0,2010,2011,0,0,3,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2011,4,2
BEBE6,k12_company,0,2017,2020,4,0,3,3,5,4,0,0,1,0,0,3,0,0,0,0,0,0,1,2019,5,4
Bebop,hmi_entertainment,0,2013,2016,3,0,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2014,4,4
BESTie,ynb_entertainment,0,2013,2018,4,0,2,2,4,2,0,0,2,0,0,5,0,0,0,0,0,0,0,2015,7,6
Black Bunny,laentertainment,0,2019,2020,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,1,2
Black Swan(2016),gm_entertainment,0,2016,2016,1,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2016,3,1
Blady,colabs,0,2011,2017,3,0,5,0,5,13,1,0,1,0,0,4,0,0,0,0,0,0,0,2015,5,7
Blah Blah,fab_entertainment,0,2017,2019,4,0,2,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,3
Blastar,vh_entertainment,0,2020,2020,1,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,1,1
Bling,ps_creative,0,2015,2018,3,0,4,3,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,4
Bloomy,ds_entertainment,0,2016,2017,6,0,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,1,2
Bob Girls,chrome_entertainment,0,2014,2015,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2014,2,2
BONUSbaby,maroo_entertainment,0,2017,2020,6,0,5,5,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2017,2,4
BP POP,bp_story_entertainment,0,2013,2015,3,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2013,2,3
Brand New Day,wannabe_management,0,2009,2009,0,0,3,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2009,4,1
BULLDOK,innok_entertainment,0,2016,2018,0,0,2,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,3
C.I.V.A,lee&tak_entertainment,0,2016,2016,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,1
CAMILA,c.c_entertainment,0,2018,2019,2,0,3,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2019,2,2
Carcaro Girl,reverse_social,0,2011,2011,1,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,1,1
CHERRY ON TOP,united_creative,0,2018,2019,5,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2018,2,2
CHI CHI,trophy_entertainment,0,2011,2013,0,0,5,5,7,3,0,0,0,0,0,3,0,0,0,0,1,0,0,2012,4,3
Chloris,fab_entertainment,0,2017,2020,7,0,4,2,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,4
ChoColat,paramount_music,0,2011,2014,1,0,6,6,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2013,3,4
CLEO,emi_(korea),0,1999,2005,0,0,3,1,3,4,0,5,0,0,0,1,0,0,0,0,0,0,0,2005,6,7
Cooki,dream_scape_entertainment,0,1998,2001,0,0,4,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2000,2,4
Crayon Pop,chrome_entertainment,0,2012,2016,8,0,4,4,5,1,1,1,3,0,3,2,0,1,1,1,2,0,6,2016,20,5
CST,dreamcense,0,2018,2018,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,1,1
Cupid,narda_entertainment,0,2015,2019,0,0,2,1,4,8,0,0,0,0,0,1,1,0,0,0,0,0,2,2018,4,5
CutieL,colabs,0,2010,2018,2,0,5,0,7,25,0,1,1,0,0,5,0,0,0,0,0,0,0,2016,7,9
D.el,colabs,0,2016,2017,0,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2017,2,2
D.Holic,star_road_entertainment,0,2014,2017,5,0,6,2,5,7,0,0,1,0,1,2,0,0,0,0,0,0,0,2016,4,4
Dalshabet,happyface_entertainment,0,2011,2019,4,0,6,5,6,2,0,1,10,0,0,0,0,0,0,0,1,0,1,2016,13,9
DayDream(2016),colabs,0,2016,2016,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,1
Daydream(2019),great_company,0,2019,2020,3,0,6,4,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,1,2
Delight(2013),bros_media_entertainment,0,2013,2015,3,0,5,3,4,4,0,0,2,0,0,1,0,0,0,0,0,0,0,2014,3,3
DICE,bros_entertainment,0,2016,2017,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2
Diva,colabs,0,1997,2005,0,0,3,3,4,1,0,8,0,0,0,0,0,1,0,0,0,0,2,2005,11,9
Dorothy,leek.mill,0,2016,2017,3,0,6,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2
Elado,ao_entertainment,0,2017,2017,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,1
Enue,samsung_music,0,1997,1999,0,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1997,1,3
EvoL,stardom_entertainment,0,2012,2015,2,0,5,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2013,2,4
f(x),sm_entertainment,0,2009,2019,5,0,5,5,5,0,0,4,2,0,1,3,1,0,0,0,2,1,7,2016,21,11
F-ve Dolls,colabs,0,2011,2015,1,0,6,3,5,5,0,0,2,1,0,2,0,0,0,0,0,0,1,2013,6,5
Fantastie,in_entertainment,0,2016,2017,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2
FIESTAR,fave_entertainment,0,2012,2018,0,0,5,5,6,1,0,0,2,0,3,4,1,0,0,0,0,0,4,2018,14,7
FIONA,supreme_entertainment,0,2015,2016,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
FLASHE,play_music_entertainment,0,2012,2020,6,0,4,1,5,13,0,0,1,0,0,7,4,0,0,0,0,0,0,2018,12,9
Flying Girls,doll_communications,0,2009,2009,0,0,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2009,1,1
G-(i)Kon,d-day_entertainment,0,2019,2020,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,1,2
Gangkiz,core_contents_media,0,2012,2014,2,0,7,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2012,1,3
GBB,probeat_company,0,2018,2020,3,0,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2018,1,3
GeeGu,gf_entertainment,0,2017,2021,5,0,6,6,9,3,0,0,2,0,0,0,0,0,0,0,0,0,1,2019,3,5
GI,simtong_entertainment,0,2013,2016,3,0,5,2,5,6,0,0,1,0,0,4,0,0,0,0,0,0,0,2015,5,4
Girl's Day,dreamt_entertainment,0,2010,2017,8,0,4,2,5,5,0,2,6,1,9,0,1,0,0,0,1,0,0,2017,20,8
Girl2School,dni_works,0,2010,2015,3,0,3,0,10,20,0,0,0,0,0,3,0,0,0,0,0,0,1,2014,4,6
GIRLS GIRLS,h_brothers_entertainment,0,2015,2019,4,0,2,2,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2016,2,5
GLAM,colabs,0,2012,2015,3,0,4,4,5,1,0,0,0,0,2,2,0,0,0,0,0,0,3,2014,7,4
GOOD DAY,c9_entertainment,0,2017,2019,4,0,10,10,10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2017,1,3
GP Basic,jacyhan_international,0,2010,2015,0,0,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2014,7,6
GROW.B,midum_entertainment,0,2019,2019,1,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2019,1,1
Gugudan,jellyfish_entertainment,0,2016,2020,5,0,8,8,9,1,2,0,3,0,2,0,0,0,0,0,0,0,4,2018,9,5
H.U.B,new_planet_entertainment,0,2017,2019,6,0,5,1,4,7,0,0,0,0,0,5,0,0,0,0,0,0,0,2018,5,3
H2L,regolith_entertainment,0,2015,2017,1,0,3,3,5,2,0,0,0,0,0,3,0,0,0,0,0,0,1,2017,4,3
HADY,kings_entertainment,0,2015,2017,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,2,3
HAM,lee_yeon_entertainment,0,2009,2011,2,0,3,3,4,1,0,0,0,0,0,4,2,0,0,0,0,0,0,2011,6,3
Heart,kcent_entertainment,0,2016,2017,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2
HELLOVENUS,fantagio_music,0,2012,2019,3,0,6,4,6,4,0,0,5,1,1,4,0,0,0,0,0,0,3,2018,14,8
HEXE,serenity_music,0,2015,2016,1,0,5,5,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2016,3,2
Hi.D,heroes_factory,0,2016,2016,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,1
HINAPIA,osr_entertainment,0,2019,2020,6,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,1,2
Holy Days,line_&_jeen_entertainment,0,2016,2018,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2017,3,3
Honey Girls,liz_entertainment,0,2015,2016,0,0,3,3,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,2
HOT TEEN,tiptop_entertainment,0,2019,2019,2,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,1,1
HOTTIES,solerino,0,2015,2017,5,0,4,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2015,1,3
i-13,lime_music,0,2005,2007,0,0,13,13,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2005,1,3
I-Ren,j_company_entertainment,0,2016,2017,1,0,3,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,2
I.B.I,loen_entertainment,0,2016,2017,0,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2
I.O.I,ymc_entertainment,0,2016,2017,5,0,11,11,11,0,0,0,2,0,1,3,0,0,0,0,0,0,1,2017,7,2
Icia,colabs,0,2015,2019,3,0,11,11,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2018,4,5
ILUV,wks_ene,0,2019,2020,6,0,7,7,7,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2020,4,2
IZ*ONE,off_the_record_entertainment,0,2018,2021,11,0,12,12,12,0,0,1,4,0,0,1,1,1,0,0,3,0,2,2021,13,4
Jewelry,star_empire_entertainment,0,2001,2015,3,0,3,0,4,10,0,6,1,0,0,6,1,2,0,0,5,0,2,2013,23,15
Jjarimongttang,cs_entertainment,0,2013,2016,2,0,3,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,4
Juliet,wonder_music,0,1997,2000,0,0,2,1,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2000,2,4
K-Girls,beauty_hankook_corporation,0,2013,2015,4,0,5,2,6,7,0,0,1,0,0,2,0,0,0,0,0,0,0,2015,3,3
KARA,dsp_media,0,2007,2016,1,0,4,2,4,5,0,4,7,0,0,4,0,5,1,0,12,0,4,2015,37,10
Kassia,i-star_entertainment,0,2011,2011,0,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,1,1
Kirots,302skool_company,0,2006,2007,0,0,9,6,8,5,0,0,0,0,0,7,2,0,0,0,0,0,2,2007,11,2
Kiss&Cry,winning_insight_m,0,2014,2014,2,0,4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2014,3,1
Kitten Girls,stone_entertainment,0,2017,2019,3,0,3,2,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,2018,2,3
La TTE,starcubic_entertainment,0,2012,2012,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012,1,1
LABELUP,yedam_entertainment,0,2019,2021,5,0,5,2,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,1,3
LAY.T,baeksang_entertainment,0,2012,2013,2,0,3,3,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2012,1,2
Leader'S,tgn_entertainment,0,2011,2015,1,0,5,5,8,24,3,0,0,0,0,5,0,0,0,0,0,0,0,2015,5,5
Limesoda,d-maker_entertainment,0,2017,2020,6,0,3,2,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2019,3,4
LIPBUBBLE,zenith_media_contents,0,2017,2019,5,0,7,4,7,6,0,0,0,0,0,2,0,0,0,0,0,0,0,2018,2,3
Littles,nega_network,0,2012,2014,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,1,3
LoveUs,creative_su_entertainment,0,2015,2016,3,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2015,2,2
LPG,aquaargo_entertainment,0,2005,2016,0,0,3,0,4,19,0,3,1,1,0,5,0,0,0,0,0,0,0,2015,10,12
Luluz,wanna.b,0,2014,2015,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,1,2
M.I.L.K,bm_entertainment,0,2001,2003,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001,1,3
MARMELLO,rolling_culture_one,0,2017,2019,3,0,5,5,5,0,0,0,1,0,0,2,1,0,0,0,0,0,1,2018,5,3
MATILDA,box_media,0,2016,2019,5,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2018,5,4
Maywish,j9_entertainment,0,2018,2019,3,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2019,2,2
Melody Day,cre.ker_entertainment,0,2012,2018,4,0,4,4,4,0,0,0,2,0,3,4,3,0,0,0,0,0,15,2018,27,7
Melody Pink,colabs,0,2017,2020,1,0,3,0,4,15,0,0,0,0,0,6,0,0,0,0,0,0,1,2019,7,4
Mercury,gaon_entertainment,0,2016,2017,0,0,3,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2016,2,2
MIDNIGHT,h&i_entertainment,0,2018,2020,2,0,5,2,3,13,0,0,0,0,0,3,0,0,0,0,0,0,0,2019,3,3
MINX,happyface_entertainment,0,2014,2016,5,0,5,5,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2015,2,3
miss A,jyp_entertainment,0,2010,2017,5,0,3,3,4,1,0,2,3,0,2,2,0,0,0,0,0,0,1,2015,10,8
MIXX,chiko_bros_entertainment,0,2016,2017,4,0,5,3,4,5,0,0,0,0,0,2,0,0,0,0,0,0,0,2017,2,2
MOA,professional_entertainment,0,2014,2015,1,0,5,5,5,6,0,0,0,0,0,2,0,0,0,0,0,0,1,2014,3,2
MyB,maroo_entertainment,0,2015,2016,4,0,6,6,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2015,2,2
N*White,j&j_entertainment,0,2013,2016,3,0,3,3,4,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2015,3,4
Nazca,gaonix_music,0,2001,2004,0,0,6,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001,1,4
NeonPunch,a100_entertainment,0,2017,2020,5,0,3,2,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2019,2,4
Nep,naeum_entertainment,0,2012,2012,0,0,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012,1,1
New-A,new_code,0,2016,2017,5,0,4,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2
New.F.O,colabs,0,2011,2012,0,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,1,2
O My Jewel,acoustic_company,0,2017,2018,4,0,3,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2017,1,2
O-24,eunsung_entertainment,0,1998,2002,0,0,3,3,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2000,2,5
O21,houxiu_tv,0,2016,2017,2,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,2
OAHSIS,krazy_entertainment,0,2016,2019,4,0,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,1,4
Oh!Bliss,jt_corea_entertainment,0,2016,2017,5,0,5,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,1,2
P.O.P,dwm_entertainment,0,2017,2018,4,0,5,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2017,1,2
Pandora,t.s_family_entertainment,0,2012,2013,0,0,4,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2012,1,2
PAPAYA,colabs,0,2000,2001,0,0,3,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2001,1,2
PEACE,krazy_entertainment,0,2018,2019,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019,1,2
Peach Girl,jm_star_entertainment,0,2013,2014,1,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013,1,2
Piggy Dolls,winning_insight,0,2011,2013,0,0,6,3,3,3,0,1,1,0,0,3,0,0,0,0,0,0,0,2013,5,3
PIT A PAT,pit_a_pat_entertainment,0,2017,2017,2,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,1,1
Playback,colabs,0,2015,2018,4,0,4,3,4,2,0,0,0,0,1,3,0,0,0,0,0,0,0,2017,4,4
PPL,parksal_company,0,2015,2018,3,0,6,6,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2017,4,4
