group_name,company,group_type,debute_year,disband_year,current_status,social_accounts,inactive_members,current_members,original_members_remainding,initial_members,member_changes,subunits,albums,mini_albums,other_albums,singles,digital_singles,other_singles,foreign_albums,foreign_mini_albums,foreign_other_album,foreign_singles,foreign_digital_singles,foreign_other_singles,others,last_production_year
GROW.B,midum_entertainment,Female,2019,2019,Disband,1,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2019
GsA,roots_entertainment,Female,2017,0,Active,5,0,3,3,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2019
Gugudan,jellyfish_entertainment,Female,2016,2020,Disband,5,0,8,8,9,1,2,0,3,0,2,0,0,0,0,0,0,0,0,4,2018
GWSN,miles,Female,2018,0,Active,8,0,7,7,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2020
H.U.B,new_planet_entertainment,Female,2017,2019,Disband,6,0,5,1,4,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2018
H2L,regolith_entertainment,Female,2015,2017,Disband,1,0,3,3,5,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2017
HADY,kings_entertainment,Female,2015,2017,Disband,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2015
HAM,lee_yeon_entertainment,Female,2009,2011,Disband,2,0,3,3,4,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2011
Hashtag,luk_factory,Female,2017,0,Active,5,0,7,7,7,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2019
Heart,kcent_entertainment,Female,2016,2017,Disband,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
HELLOVENUS,fantagio_music,Female,2012,2019,Disband,3,0,6,4,6,4,0,0,5,1,1,4,0,0,0,0,0,0,0,3,2018
HEXE,serenity_music,Female,2015,2016,Disband,1,0,5,5,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2016
HeyGirls,moai_entertainment,Female,2012,0,Active,5,1,6,0,6,21,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2021
HeyMiss,cg_entertainment,Female,2016,0,Active,2,0,3,3,8,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
HI CUTIE,space_music_entertainment,Female,2017,0,Active,5,0,4,3,5,3,0,0,0,0,0,9,0,0,0,0,0,0,0,1,2021
Hi.D,heroes_factory,Female,2016,2016,Disband,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Hibana,to_hermitage,Female,2020,0,Active,3,0,3,3,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2020
HighSchool,richworld_entertainment,Female,2017,0,Active,6,0,3,1,4,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2020
HIGHTEEN,illusion_entertainment,Female,2016,0,Active,5,0,4,4,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,2018
HINAPIA,osr_entertainment,Female,2019,2020,Disband,6,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
HINT,starpro_entertainment,Female,2017,0,Active,5,0,5,5,8,3,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2020
HOLICS,lpa_entertainment,Female,2016,0,Active,5,0,5,3,5,7,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2019
Holy Days,line_&_jeen_entertainment,Female,2016,2018,Disband,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2017
Honey Girls,liz_entertainment,Female,2015,2016,Disband,0,0,3,3,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
Honey Popcorn,kyun_create,Female,2018,0,Active,3,0,5,2,3,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2019
HOT ISSUE,s2_entertainment,Female,2021,0,Active,8,0,7,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2021
HOT TEEN,tiptop_entertainment,Female,2019,2019,Disband,2,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
HOTTIES,solerino,Female,2015,2017,Disband,5,0,4,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
i-13,lime_music,Female,2005,2007,Disband,0,0,13,13,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2005
I-Ren,j_company_entertainment,Female,2016,2017,Disband,1,0,3,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
I.B.I,loen_entertainment,Female,2016,2017,Disband,0,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
I.C.E,hs_entertainment,Female,2015,0,Active,4,0,3,3,4,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2020
I.O.I,ymc_entertainment,Female,2016,2017,Disband,5,0,11,11,11,0,0,0,2,0,1,3,0,0,0,0,0,0,0,1,2017
Icia,colabs,Female,2015,2019,Disband,3,0,11,11,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2018
ICU,liz_entertainment,Female,2019,0,Active,5,0,5,5,5,0,0,0,0,0,0,2,2,0,0,0,0,1,0,2,2021
ILUV,wks_ene,Female,2019,2020,Disband,6,0,7,7,7,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2020
ITZY,jyp_entertainment,Female,2009,0,Active,8,0,5,5,5,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,2021
IZ*ONE,off_the_record_entertainment,Female,2018,2021,Disband,11,0,12,12,12,0,0,1,4,0,0,1,1,1,0,0,3,0,0,2,2021
Jewelry,star_empire_entertainment,Female,2001,2015,Disband,3,0,3,0,4,10,0,6,1,0,0,6,1,2,0,0,5,0,0,2,2013
Jjarimongttang,cs_entertainment,Female,2013,2016,Disband,2,0,3,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
Juliet,wonder_music,Female,1997,2000,Disband,0,0,2,1,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2000
K-Girls,beauty_hankook_corporation,Female,2013,2015,Disband,4,0,5,2,6,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2015
KAACHI,frontrow_records,Female,2020,0,Active,5,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2020
KARA,dsp_media,Female,2007,2016,Disband,1,0,4,2,4,5,0,4,7,0,0,4,0,5,1,0,12,0,0,4,2015
Kassia,i-star_entertainment,Female,2011,2011,Disband,0,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2011
Kirots,302skool_company,Female,2006,2007,Disband,0,0,9,6,8,5,0,0,0,0,0,7,2,0,0,0,0,0,0,2,2007
Kiss&Cry,winning_insight_m,Female,2014,2014,Disband,2,0,4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2014
Kitten Girls,stone_entertainment,Female,2017,2019,Disband,3,0,3,2,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2018
La TTE,starcubic_entertainment,Female,2012,2012,Disband,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012
LABELUP,yedam_entertainment,Female,2019,2021,Disband,5,0,5,2,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
LABOUM,laboum,Female,2014,0,Active,10,0,5,5,6,1,0,1,2,0,6,4,0,1,0,0,1,1,0,1,2020
LADIES' CODE,polaris_entertainment,Female,2013,0,Active,6,0,3,3,5,2,0,0,4,0,2,4,2,0,0,0,0,0,0,1,2019
LAY.T,baeksang_entertainment,Female,2012,2013,Disband,2,0,3,3,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012
LAYSHA,a1_entertainment,Female,2015,0,Active,4,0,4,2,4,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2019
Leader'S,tgn_entertainment,Female,2011,2015,Disband,1,0,5,5,8,24,3,0,0,0,0,5,0,0,0,0,0,0,0,0,2015
Like Me,space_music_entertainment,Female,2020,0,Active,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
Limesoda,d-maker_entertainment,Female,2017,2020,Disband,6,0,3,2,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2019
LIPBUBBLE,zenith_media_contents,Female,2017,2019,Disband,5,0,7,4,7,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2018
Little Cheer Girl,rainbow_company,Female,2015,0,Active,3,0,5,0,5,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2020
Littles,nega_network,Female,2012,2014,Disband,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012
LIVE HIGH,crayon_star_entertainment,Female,2013,0,Active,8,0,3,1,4,6,0,0,0,0,0,5,0,0,0,1,0,0,0,0,2019
LOO??,blockberrycreative,Female,2016,0,Active,9,0,12,12,12,0,3,0,3,1,12,3,0,0,0,0,0,0,0,0,2020
Lovelyz,woollim_entertainment,Female,2014,0,Active,6,0,8,8,8,0,0,2,7,1,1,2,1,0,0,0,0,0,0,4,2020
LoveUs,creative_su_entertainment,Female,2015,2016,Disband,3,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2015
LPG,aquaargo_entertainment,Female,2005,2016,Disband,0,0,3,0,4,19,0,3,1,1,0,5,0,0,0,0,0,0,0,0,2015
Luluz,wanna.b,Female,2014,2015,Disband,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014
LUNARSOLAR,j_planet_entertainment,Female,2020,0,Active,5,0,4,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2021
Lusty,babaplay,Female,2019,0,Active,3,0,5,5,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2020
M.I.L.K,bm_entertainment,Female,2001,2003,Disband,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2001
MAJORS,ans_entertainment,Female,2021,0,Active,6,0,6,6,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2021
Maka Maka,bluemoon_entertainment,Female,2020,0,Active,6,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
MAMAMOO,rbw,Female,2014,0,Active,7,0,4,4,4,0,0,2,10,0,0,6,5,2,1,0,4,0,0,14,2021
MARMELLO,rolling_culture_one,Female,2017,2019,Disband,3,0,5,5,5,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,2018
MATILDA,box_media,Female,2016,2019,Disband,5,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2018
Maywish,j9_entertainment,Female,2018,2019,Disband,3,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2019
Melody Day,cre.ker_entertainment,Female,2012,2018,Disband,4,0,4,4,4,0,0,0,2,0,3,4,3,0,0,0,0,0,0,15,2018
Melody Pink,colabs,Female,2017,2020,Disband,1,0,3,0,4,15,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2019
Mercury,gaon_entertainment,Female,2016,2017,Disband,0,0,3,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2016
MIDNIGHT,h&i_entertainment,Female,2018,2020,Disband,2,0,5,2,3,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2019
Milkyway,juju_sisters,Female,2019,0,Active,2,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
Mini Little Cheer Girl,rainbow_company,Female,2019,0,Active,3,0,5,2,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2021
MINX,happyface_entertainment,Female,2014,2016,Disband,5,0,5,5,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2015
miss A,jyp_entertainment,Female,2010,2017,Disband,5,0,3,3,4,1,0,2,3,0,2,2,0,0,0,0,0,0,0,1,2015
MIXX,chiko_bros_entertainment,Female,2016,2017,Disband,4,0,5,3,4,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2017
MOA,professional_entertainment,Female,2014,2015,Disband,1,0,5,5,5,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2014
MOMOLAND,mld_entertainment,Female,2016,0,Active,7,0,6,6,7,3,0,0,5,1,3,1,0,1,0,0,3,0,0,5,2021
My Darling,al_entertainment,Female,2018,0,Active,6,0,3,1,3,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2019
MyB,maroo_entertainment,Female,2015,2016,Disband,4,0,6,6,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2015
N*White,j&j_entertainment,Female,2013,2016,Disband,3,0,3,3,4,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2015
NATURE,n.ch_entertainment,Female,2018,0,Active,9,0,9,8,9,2,0,0,2,0,3,0,0,0,0,0,1,0,0,2,2020
Nazca,gaonix_music,Female,2001,2004,Disband,0,0,6,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2001
NeonPunch,a100_entertainment,Female,2017,2020,Disband,5,0,3,2,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2019
Nep,naeum_entertainment,Female,2012,2012,Disband,0,0,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2012
New-A,new_code,Female,2016,2017,Disband,5,0,4,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
New.F.O,colabs,Female,2011,2012,Disband,0,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2011
O My Jewel,acoustic_company,Female,2017,2018,Disband,4,0,3,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2017
O-24,eunsung_entertainment,Female,1998,2002,Disband,0,0,3,3,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2000
O21,houxiu_tv,Female,2016,2017,Disband,2,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
OAHSIS,krazy_entertainment,Female,2016,2019,Disband,4,0,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
OH MY GIRL,wm_entertainment,Female,2015,0,Active,10,0,7,7,8,1,1,1,8,1,0,1,0,3,0,0,1,6,0,11,2021
Oh!Bliss,jt_corea_entertainment,Female,2016,2017,Disband,5,0,5,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2016
ONE,onecompany2020,Female,2020,0,Active,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
P.O.P,dwm_entertainment,Female,2017,2018,Disband,4,0,5,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
Pandora,t.s_family_entertainment,Female,2012,2013,Disband,0,0,4,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012
PAPAYA,colabs,Female,2000,2001,Disband,0,0,3,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2001
PEACE,krazy_entertainment,Female,2018,2019,Disband,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
Peach Girl,jm_star_entertainment,Female,2013,2014,Disband,1,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2013
PIERCE,clevr_e&m,Female,2018,0,Active,1,0,5,3,5,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2021
Piggy Dolls,winning_insight,Female,2011,2013,Disband,0,0,6,3,3,3,0,1,1,0,0,3,0,0,0,0,0,0,0,0,2013
PinkFantasy,mydoll_entertainment,Female,2018,0,Active,4,0,5,5,8,3,3,0,0,0,2,3,0,0,0,0,1,0,0,0,2021
PIT A PAT,pit_a_pat_entertainment,Female,2017,2017,Disband,2,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
PIXY,colabs,Female,2020,0,Active,5,0,6,6,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2021
Playback,colabs,Female,2015,2018,Disband,4,0,4,3,4,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2017
Pocket Girls,missdica_entertainment,Female,2015,0,Active,4,0,3,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2017
PPL,parksal_company,Female,2015,2018,Disband,3,0,6,6,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2017
PRECIOUS,umi_entertainment,Female,2020,0,Active,5,0,5,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2020
PRISM,lch_entertainment,Female,2017,0,Active,4,0,4,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2019
PRISMA,unionwave_entertainment,Female,2020,2021,Disband,1,0,5,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020
PRISTIN,pledis_entertainment,Female,2017,2019,Disband,1,1,11,12,12,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,2017
PRITTI-G,colabs,Female,2015,0,Active,3,0,6,3,5,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2017
Pungdeng-E,doma_entertainment,Female,2013,0,Active,6,0,3,3,3,0,0,1,3,0,0,8,2,1,0,0,1,0,0,1,2019
Purfles,crescendo_music,Female,2014,2016,Disband,4,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2015
Purplay,purple_i_ent,Female,2013,2014,Disband,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2013
PURPLE,luk_factory,Female,2018,0,Active,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
PURPLE K!SS,rbw,Female,2018,0,Active,7,0,7,5,6,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2021
PURPLEBECK,majesty_entertainment,Female,2019,0,Active,5,0,5,5,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2020
Q6IX,retro_entertainment,Female,2019,0,Active,1,0,5,2,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2020
QODES,ej_music_entertainment,Female,2021,0,Active,4,0,4,4,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2021
Queen B'Z,js_entertainment,Female,2012,2017,Disband,2,0,5,5,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,2017
Queendom,anj_entertainment,Female,2015,2017,Disband,6,0,3,1,3,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2017
ANJ Entertainment,dsp_media,Female,2009,2016,Disband,5,0,7,7,7,0,2,1,4,0,0,2,0,1,0,0,3,0,0,5,2016
Ramisu,ui_entertainment,Female,2017,2017,Disband,3,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
RaNia,colabs,Female,2011,2020,Disband,5,0,5,0,8,19,0,0,3,3,0,4,0,0,0,0,0,0,0,1,2017
RE:KIDS ANGEL,retune_music,Female,2020,0,Active,4,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2021
RE:KIDS BLOOM,retune_music,Female,2020,0,Active,4,0,5,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2021
Real Girls Project,interactive_media_mix,Female,2016,2018,Disband,4,0,10,10,10,0,0,0,0,0,0,2,0,0,1,0,0,2,0,3,2017
Red Mint,redmintwo,Female,2018,0,Active,1,0,2,2,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2021
Red Velvet,sm_entertainment,Female,2014,0,Active,9,0,5,5,5,0,1,2,9,2,0,8,0,10,2,0,0,3,0,4,2020
REDSQUARE,iconic_mne,Female,2020,0,Active,4,0,5,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020
Refiners,unknown,Female,2019,0,Active,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
Refund Sisters,mbc,Female,2020,2020,Disband,0,0,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020
Rendezvous,parksal_company,Female,2018,2019,Disband,4,0,4,3,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
Rocket Punch,woollim_entertainment,Female,2019,0,Active,9,0,6,6,6,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,2021
Rose Finger,colabs,Female,2017,2020,Disband,1,0,4,2,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2019
S.E.S.,sm_entertainment,Female,1997,2002,Disband,1,0,3,3,3,0,0,5,0,3,0,0,0,2,0,0,9,0,0,0,2002
S.E.S.,sm_entertainment,Female,2016,2017,Disband,1,0,3,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2017
S.E.T,hoonstar_entertainment,Female,2017,2017,Disband,4,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
S.I.S,xx_entertainment,Female,2017,0,Active,7,1,4,4,6,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2020
S2,climix,Female,2017,2018,Disband,4,0,6,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2017
S2U,one_shot_entertainment,Female,2017,2019,Disband,1,0,3,2,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2018
SATURDAY,sd_entertainment,Female,2018,0,Active,6,0,5,3,7,6,0,0,0,0,3,2,2,0,0,0,0,0,0,0,2021
Scarlet,colabs,Female,2014,2015,Disband,2,0,4,4,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2014
Secret,ts_entertainment,Female,2009,2018,Disband,3,0,3,3,4,1,0,1,5,0,3,2,0,1,1,0,5,0,0,2,2014
SECRET NUMBER,vine_entertainment,Female,2020,0,Active,4,0,5,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2020
See U,donga_planning,Female,1999,2000,Disband,0,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1999
SHA SHA,major_entertainment,Female,2017,2019,Disband,0,0,6,3,6,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2018
S#aFLA,vine_entertainment,Female,2018,2019,Disband,3,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2019
She'Z,line_entertainment,Female,2012,2014,Disband,3,0,4,4,4,0,0,0,1,0,1,5,0,0,0,0,0,0,0,1,2014
SHINVI,cid.k_entertainment,Female,2002,2003,Disband,0,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2002
SIOSIJAK,good_dream_entertainment,Female,2018,2020,Disband,4,0,4,2,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
SISTAR,starship_entertainment,Female,2010,2017,Disband,7,0,4,4,4,0,1,2,4,2,3,4,0,0,0,0,0,0,0,3,2017
Six Bomb,world_event_agency,Female,2012,2012,Disband,3,0,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012
Six Bomb,world_event_agency,Female,2015,0,Active,3,0,3,2,4,5,1,0,0,0,0,8,0,0,0,0,0,0,0,0,2018
SKarf,alpha_entertainment,Female,2012,2014,Disband,2,0,5,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2013
SKYGIRLS,colabs,Female,2019,0,Active,3,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
Sol-T,probeat_company,Female,2016,2017,Disband,0,0,6,4,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2016
SONAMOO,ts_entertainment,Female,2014,0,Active,6,0,5,5,7,2,0,0,3,0,1,2,0,0,0,0,0,0,0,2,2019
SONOKI,independent,Female,2020,0,Active,3,0,4,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
SPICA,colabs,Female,2012,2017,Disband,4,0,5,5,5,0,1,0,2,0,0,5,1,0,0,0,0,1,0,3,2016
STAYC,high_up_entertainment,Female,2020,0,Active,6,0,6,6,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2021
Stellar,the_entertainment_pascal,Female,2011,2018,Disband,5,0,4,0,4,8,0,0,3,0,1,6,0,0,0,0,0,0,0,1,2017
Sugar Moon,bigband_entertainment,Female,2016,2016,Disband,3,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Sugar Tint,ramah_entertainment,Female,2018,2019,Disband,2,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
